mac_address,time_scanned,rssi,payload
6d:86:a4:29:e2:a9,00:00:01.196,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:01.503,-18,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:01.734,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:02.007,-17,02011a020a070cff4c0010073e1fb68edcfb58
f2:6c:36:ec:a6:d8,00:00:02.250,-17,07ff4c0012020000
6d:86:a4:29:e2:a9,00:00:02.280,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:02.607,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:02.823,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:03.105,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:03.385,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:03.661,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:03.933,-17,02011a020a070cff4c0010073e1fb68edcfb58
f2:6c:36:ec:a6:d8,00:00:04.279,-17,07ff4c0012020000
6d:86:a4:29:e2:a9,00:00:04.489,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:04.767,-18,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:05.586,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:05.902,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:06.146,-17,02011a020a070cff4c0010073e1fb68edcfb58
f2:6c:36:ec:a6:d8,00:00:06.237,-18,07ff4c0012020000
6d:86:a4:29:e2:a9,00:00:06.423,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:06.696,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:06.969,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:07.171,-17,02011a020a070cff4c0010073e1fb68edcfb58
ed:a7:b3:b7:5a:de,00:00:07.208,-18,07ff4c0012020003
6d:86:a4:29:e2:a9,00:00:07.434,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:07.708,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:07.983,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:08.260,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:08.531,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:09.085,-17,02011a020a070cff4c0010073e1fb68edcfb58
ed:a7:b3:b7:5a:de,00:00:09.208,-17,07ff4c0012020003
6d:86:a4:29:e2:a9,00:00:09.360,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:09.633,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:09.907,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:10.186,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:10.457,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:10.729,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:11.008,-17,02011a020a070cff4c0010073e1fb68edcfb58
ed:a7:b3:b7:5a:de,00:00:11.187,-18,07ff4c0012020003
6d:86:a4:29:e2:a9,00:00:11.285,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:11.614,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:11.836,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:12.115,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:12.409,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:12.715,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:12.969,-17,02011a020a070cff4c0010073e1fb68edcfb58
ed:a7:b3:b7:5a:de,00:00:13.189,-17,07ff4c0012020003
6d:86:a4:29:e2:a9,00:00:13.211,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:13.514,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:13.760,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:14.035,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:14.307,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:14.577,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:14.847,-17,02011a020a070cff4c0010073e1fb68edcfb58
6d:86:a4:29:e2:a9,00:00:15.123,-17,02011a020a070cff4c0010073e1fb68edcfb58
ed:a7:b3:b7:5a:de,00:00:15.215,-17,07ff4c0012020003
6d:86:a4:29:e2:a9,00:00:15.401,-17,02011a020a070cff4c0010073e1fb68edcfb58
ed:a7:b3:b7:5a:de,00:00:15.515,-17,07ff4c0012020003
6d:86:a4:29:e2:a9,00:00:15.596,-17,02011a020a070cff4c0010073e1fb68edcfb58
ed:a7:b3:b7:5a:de,00:00:15.656,-18,07ff4c0012020003
6d:86:a4:29:e2:a9,00:00:15.700,-17,02011a020a070cff4c0010077a1fb68edcfb5a
ed:a7:b3:b7:5a:de,00:00:15.701,-18,07ff4c0012020003
6d:86:a4:29:e2:a9,00:00:15.712,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:15.751,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:15.791,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:15.820,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:15.883,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:15.892,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:15.922,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:15.970,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:15.984,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:16.014,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:16.051,-17,02011a020a070cff4c0010077a1fb68edcfb5a
6d:86:a4:29:e2:a9,00:00:16.091,-17,02011a020a070cff4c0010077a1fb68edcfb5a
