mac_address,time_scanned,rssi,payload
61:74:1f:9a:7a:16,00:00:00.810,-33,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:01.090,-33,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:01.365,-33,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:01.645,-33,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:02.480,-36,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:04.690,-25,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:05.011,-26,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:05.245,-26,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:06.080,-31,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:07.721,-30,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:07.998,-28,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:08.294,-28,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:08.565,-28,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:09.116,-30,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:11.296,-23,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:11.574,-22,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:11.896,-21,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:12.676,-22,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:14.069,-23,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:14.329,-23,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:14.613,-22,02011a020a030aff4c001005471cb530d7
61:74:1f:9a:7a:16,00:00:14.907,-22,02011a020a030aff4c001005471cb530d7
