mac_address,time_scanned,rssi,payload
56:4f:aa:0c:9d:5e,00:00:01.015,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:01.246,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:01.522,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:01.815,-18,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:02.026,-18,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:02.077,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:02.388,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:02.634,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:02.912,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:03.186,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:03.464,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:03.743,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:04.019,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:04.050,-17,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:04.300,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:04.572,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:04.847,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:05.121,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:05.393,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:05.714,-17,02011a020a070cff4c0010073a1f4717a8f028
78:ac:85:d3:3d:2d,00:00:05.890,-45,02011a020a090aff4c0010050518622880
56:4f:aa:0c:9d:5e,00:00:05.957,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:06.061,-17,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:06.227,-18,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:06.505,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:06.814,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:07.055,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:07.328,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:07.615,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:07.899,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:08.160,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:08.436,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:08.707,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:08.999,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:09.257,-18,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:09.615,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:10.042,-17,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:10.115,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:10.350,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:10.625,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:10.899,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:11.178,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:11.449,-18,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:11.726,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:12.004,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:12.045,-18,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:12.322,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:12.598,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:12.837,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:13.119,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:13.386,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:13.718,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:13.932,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:14.081,-17,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:14.479,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:14.820,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:15.032,-18,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:15.305,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:15.578,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:15.851,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:16.083,-17,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:16.128,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:16.409,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:16.719,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:16.958,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:17.237,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:17.517,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:18.067,-18,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:18.112,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:18.351,-18,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:18.629,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:18.905,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:19.180,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:19.489,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:19.730,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:20.009,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:20.088,-17,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:20.283,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:20.547,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:20.818,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:21.111,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:21.391,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:21.641,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:21.918,-17,02011a020a070cff4c0010073a1f4717a8f028
e3:74:0f:e0:d7:ea,00:00:22.076,-18,07ff4c0012020002
56:4f:aa:0c:9d:5e,00:00:22.197,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:22.476,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:22.746,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:23.306,-18,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:23.582,-17,02011a020a070cff4c0010073a1f4717a8f028
56:4f:aa:0c:9d:5e,00:00:23.862,-18,02011a020a070cff4c0010073a1f4717a8f028
